,Tree,CLS,IG,evaluation
acc_arc,0.019389075291694532,0.468197267282556,0.5039453386939428,True
acc_x_aad,0.006854536368461821,0.42713279401917553,0.6029639195646614,False
acc_x_kurt,0.0,0.19959829026346285,0.3288885112465765,False
acc_x_mean,0.04726390557204532,0.2579673125300206,0.45470860139455116,False
acc_x_skew,0.0,0.358789967573254,0.5639535420941693,False
acc_x_std,0.0023002083674315164,0.4007037067715247,0.5889647489672156,False
acc_y_aad,0.025110494558270136,0.5015722570305212,0.5514877932015221,True
acc_y_kurt,0.004939039276905848,0.04916814281775054,0.3755889717334806,False
acc_y_mean,0.0017057724971964066,0.398325888401573,0.44511476611928114,False
acc_y_skew,0.0,0.03459688911381556,0.35140795936634195,False
acc_y_std,0.024899802790261605,0.514442547570843,0.557477714484409,True
acc_z_aad,0.001581393252609168,0.4378744501124774,0.5523352487607867,False
acc_z_kurt,0.046458762013995486,0.23315499164037845,0.5065510557888284,False
acc_z_mean,0.17786841690326527,0.6091667795796408,0.6477269018157235,True
acc_z_skew,0.013411253447746612,0.026877670222225182,0.5328060361187379,False
acc_z_std,0.1782864279781212,0.3240930553222623,0.6147446407772361,True
baro_aad,0.0,0.34418001290984024,0.5402194524901986,False
baro_kurt,0.002760250040917819,0.3740697002735675,0.49888156367621783,False
baro_mean,0.0,0.5039165252333883,0.623121176529152,False
baro_skew,0.0053030124317099145,0.08905503997269824,0.4478947215368585,False
baro_std,0.00290401306388229,0.20789688827018782,0.5038615193728264,False
gyr_arc,0.0063577389986525885,0.5273295279882853,0.5277509688369229,False
gyr_x_aad,0.004608381098092842,0.3807861085276992,0.5495931339008602,False
gyr_x_kurt,0.0016246429687615039,0.2578574562709086,0.5896219726534735,False
gyr_x_mean,0.015178922959853057,0.5839071348087972,0.6390010685932732,False
gyr_x_skew,0.01637102261787754,0.06146261420828403,0.48005826634494464,False
gyr_x_std,0.0,0.17019767546410858,0.5747934089183733,False
gyr_y_aad,0.007146109062273307,0.41485132459622104,0.43323768856889533,False
gyr_y_kurt,0.013632889035774538,0.0749993472908574,0.2400634689159833,False
gyr_y_mean,0.0010725690702068271,0.11334804865469694,0.1802148348909145,False
gyr_y_skew,0.006517257041055965,0.06915913511474427,0.21024628090572728,False
gyr_y_std,0.008194492308974777,0.3866238409294548,0.5585290296333885,False
gyr_z_aad,0.0,0.40211852548775745,0.450986649929747,False
gyr_z_kurt,0.0,0.12963007891987266,0.24536676732948237,False
gyr_z_mean,0.09951252270705938,0.2606957253816518,0.29842639862127074,False
gyr_z_skew,0.0,0.1699463249914172,0.24668711966472445,False
gyr_z_std,0.0015683238868851252,0.27282599023279996,0.588785823423289,False
mag_arc,0.0033898762461120626,0.48591295691746533,0.52675208013596,False
mag_x_aad,0.0,0.3642181056386631,0.4185659436725535,False
mag_x_kurt,0.005520500081835639,0.17713453895179462,0.30291060594488517,False
mag_x_mean,0.009103188680530639,0.17249013240540348,0.3376289181712633,False
mag_x_skew,0.007729982121138314,0.007596324830536863,0.22880044302766533,False
mag_x_std,0.06104926832211817,0.08917584107919553,0.47292696320140837,False
mag_y_aad,0.003833680612385861,0.3360183710963719,0.501528539084507,False
mag_y_kurt,0.0061854578138942455,0.30406585444552003,0.3797803829482729,False
mag_y_mean,0.0011501041837157582,0.3150902009364556,0.5680162153061743,False
mag_y_skew,0.07067340997860184,0.14567204173178275,0.36233705449783304,False
mag_y_std,0.012251699898385959,0.2323385628224715,0.5034917136445864,False
mag_z_aad,0.009907773315776889,0.375001248347655,0.5636544398900742,False
mag_z_kurt,0.010033788915312392,0.1828185649482438,0.3588987199805964,False
mag_z_mean,0.017579074002276863,0.05079820124504434,0.4575812216239139,False
mag_z_skew,0.008990079109915469,0.1751851739641796,0.32581682679689905,False
mag_z_std,0.0028752604592893953,0.3252728613040844,0.5090113143192208,False
nb_step,0.026905620648728135,0.036003720848813314,0.07580595257776856,False
