;IG_80;IG_160;IG_320;IG_400;CLS_80;CLS_160;CLS_320;CLS_400;DT_80;DT_160;DT_320;DT_400
acc_y_mean;0.857772555621632;0.7972272883303049;0.822728461662904;0.8337489930207895;0.08112806257359376;0.12967286498983918;0.04581045842984003;0.11471180666330638;0.05519345410542769;0.03276219682337389;0.03745276347467044;0.04025672387344372
acc_z_mean;0.733002013041417;0.7540789782587614;0.7784434717358903;0.7695049452167626;0.09439511210064283;0.19815413628757547;0.1452450560183151;0.20949731453198792;0.01760442288903077;0.019099175352834834;0.012217151782679962;0.0
acc_y_std;0.6828087031402423;0.665437395289703;0.6965172000408189;0.723135404636557;0.3027433418284518;0.36709815238964716;0.3980105699960847;0.4125985200815597;0.014702629912289876;0.0008289348279540038;0.007903436665969932;0.00010640835834943213
fcc_y_sma;0.6789228720520446;0.6659412286504045;0.6945971962966302;0.7268872477887072;0.4687045060135145;0.3784894448642778;0.4178722999504729;0.42676103116899994;0.002445177522589256;0.24963223664833387;0.008375524603390897;0.0031066422995577013
acc_arc;0.6755568925533944;0.5790284692092835;0.6284359085915989;0.6552954176070007;0.5353061957295623;0.3644485536053412;0.30726673784799385;0.3848698014009938;0.012741648583081923;0.007127530929879198;0.006261891881227428;0.0015459177498092576
acc_y_aad;0.6687041919954362;0.6656643381763729;0.6947157607338761;0.7261292536208286;0.3213785219248496;0.3784895486326662;0.40766128981449046;0.4267611527624125;0.22969820323097204;0.0009202127770705527;0.01296416817426695;0.012234451616824885
acc_z_aad;0.6257710309982616;0.618069352085955;0.6371487615558751;0.6621781475787141;0.21194244270684195;0.2146350875799762;0.24321788065564756;0.2152289504170058;0.019821324742382008;0.0030951717975054344;0.013437813518996904;0.0015722336854053843
acc_z_std;0.6178252196806291;0.6086748317545077;0.6142625808636586;0.6277403291451018;0.2205170132199144;0.2009628271731157;0.21805292568632537;0.18348095953932494;0.004849556229043661;0.011859215657054504;0.002306564040431537;1.6143767902523972e-05
nb_step;0.61690772366642;0.6059099153497616;0.6905851722498932;0.7289034846111837;0.5636662326547314;0.44616974201684434;0.4814044413174357;0.4858479222497592;0.06409041769269745;0.07622334658477645;0.3300286563388602;0.3338220467272922
acc_z_sma;0.6159887140218749;0.6183224246788175;0.631681960728123;0.6622779604707305;0.4085300910537714;0.2146351850414135;0.24601688932884191;0.215228937413918;0.09085960329113729;0.014823533342813862;0.0038462963105532566;0.010483243374960576
