;IG_80;IG_160;IG_320;IG_400;CLS_80;CLS_160;CLS_320;CLS_400;DT_80;DT_160;DT_320;DT_400;nombre_nan
acc_y_mean;0.859095620399841;0.7966820192732047;0.8237876194438836;0.8328977941929281;;;;;0.05427234452443171;0.03169853890343791;0.04219401450534429;0.038552305452392854;4
acc_z_mean;0.7339855648350833;0.7543079905355639;0.7767858241057624;0.7698489462196969;;;;;;;;;8
acc_y_std;0.683000170068792;0.6660051589365579;0.6969769843275415;0.7234639084930723;0.3027433418284518;0.36709815238964716;0.3980105699960847;0.4125985200815597;;;;;4
acc_y_sma;0.6785836618843544;0.6655074631150488;0.6944498109825759;0.7263005057603547;0.4687045060135145;0.3784894448642778;0.4178722999504729;0.42676103116899994;;;;;4
acc_arc;0.6763323328156361;0.5793102488040456;0.6284498284635633;0.6531990723935321;0.5353061957295623;0.3644485536053412;0.30726673784799385;0.3848698014009938;;;;;4
acc_y_aad;0.6698200948566142;0.6651729733962402;0.6948705156287778;0.7266290361123637;0.3213785219248496;0.3784895486326662;0.40766128981449046;0.4267611527624125;0.23156045374310186;0.25003537731801595;;;2
acc_z_aad;0.6256445584749553;0.618132698708826;0.6364834050392096;0.662160195601103;;;;;0.025385624250998065;;;;7
nb_step;0.6182051839861591;0.6091905123195762;0.6882196851721913;0.7303319690166832;0.5636662326547314;0.44616974201684434;0.4814044413174357;0.4858479222497592;0.06266457493857429;0.07638069521539255;0.3303451183471952;0.33547460219041375;0
acc_z_std;0.6181645719593787;0.6075796151094226;0.6156692537419208;0.6273828291999959;;;;;;;;;8
acc_z_sma;0.6168474572698954;0.6186729034508964;0.6324109438423535;0.6617166593175301;0.4085300910537714;;;;0.09118618155843707;;;;6
acc_x_mean;0.5198313299149946;;0.5466546612626386;0.6084872467081943;;;;;0.020778006570117125;;;;8
acc_x_sma;;;;0.5123307250483493;0.512771813422062;0.35937641064212694;0.3344561119338681;0.3735455028392325;;;;;7
mag_y_mean;;;;;;;;;;;;;12
mag_x_mean;;;;;;;;;0.021149911481292527;;;;11
acc_x_std;;;;0.5260714416774817;0.3101244114194948;0.3477013236980042;;0.3445421109999716;;;;;8
mag_z_mean;;;;;;;;0.30771597225969144;0.02089819110891697;0.040478360556618076;;;9
acc_x_aad;;;;0.5123680866659033;0.3159447973605901;0.35937633603588204;;0.37354547590695686;;;;;8
baro_std;;;0.5222653849484435;0.5971143542094182;;;;;;;;;10
mag_x_arc;;;;;0.4187438184017557;;;;;;;;11
baro_aad;;;0.516776311701469;0.5981433189004652;;;;;;;;;10
baro_sma;;;;0.5962574558380398;;;;;0.06523945292596162;0.1985118519218268;0.2032461978723717;0.23780015475194508;7
mag_x_std;;;;;;;;;0.11285432659646061;0.06684981814435237;0.10810062629783793;;9
mag_x_aad;;;;;;;;;;;;0.11733254354150799;11
gyr_y_std;;;;;0.3514906004626997;;;;;;;;11
mag_y_std;;;;;;;;;0.05331400513547555;;;;11
gyr_x_std;;;;;0.3812087844253906;;;;0.02036065292647004;;;;10
mag_y_aad;;;;;;;;;;0.023653398056969886;0.02180492685124702;;10
gyr_y_sma;;;;;0.3077041852848017;;;;;;;;11
gyr_x_sma;;;;;0.41848021342810043;;;;;;;;11
mag_y_sma;;;;;;;;;;;;;12
mag_z_sma;;;;;;;;;;;;;12
mag_z_std;;;;;;;;;;;;;12
mag_x_sma;;;;;;;;;;;;;12
gyr_z_sma;;;;;0.5215779560138738;0.33051691049522114;0.4078713268312233;0.40681779861989664;;;;;8
mag_z_aad;;;;;;;;;;;0.02135427666749423;0.024711594356423217;10
gyr_z_std;;;;;0.3133310073354811;;;;;;;;11
gyr_arc;;;;;;;;0.39666958128006335;0.03990216503674431;;;;10
gyr_x_mean;;;;;;;;;;;;;12
gyr_y_mean;;;;;;;;;;;;;12
gyr_y_aad;;;;;;;;;;;;;12
baro_mean;;;;;0.43980181372000576;;;;;;;;11
gyr_z_aad;;;;;;0.33051679126776035;;0.40681772797653476;;;;;10
gyr_x_aad;;;;;;;;;;;;;12
acc_z_skew;;;;;;;;;;;;;12
acc_y_skew;;;;;;;;;;0.031016326677124575;;;11
acc_y_kurt;;;;;;;;;;;;;12
gyr_z_mean;;;;;;;;;;;;;12
acc_z_kurt;;;;;;;;;;;;;12
baro_kurt;;;;;;;;;0.020586481195220243;0.03731252234720977;0.0690955021389265;0.04575767356487333;8
gyr_z_skew;;;;;;;;;;;;;12
gyr_x_skew;;;;;;;;;;;;;12
gyr_z_kurt;;;;;;;;;;;;;12
gyr_y_kurt;;;;;;;;;;;;;12
acc_x_skew;;;;;;;;;;;;;12
baro_skew;;;;;;;;;;;;;12
acc_x_kurt;;;;;;;;;;;;;12
gyr_y_skew;;;;;;;;;;;;;12
gyr_x_kurt;;;;;;;;;;;;;12
mag_x_kurt;;;;;;;;;;;;0.03129872855340745;11
mag_y_kurt;;;;;;;;;;;;;12
mag_z_kurt;;;;;;;;;;;;;12
mag_x_skew;;;;;;;;;;;;;12
mag_z_skew;;;;;;;;;;;;;12
mag_y_skew;;;;;;;;;;;;;12
