Key;IG;CLS;TP;none;Sommedes3;rangig;rangcls;rangtp;addition_range;topcroissant;topdecroissant
acc_y_mean;0,790630334;0,131813619;0,017688915;;0,313377623;1;26;14;41;9;55
acc_z_mean;0,731280581;0,193357243;0,009121014;;0,311252946;2;19;18;39;7;56
acc_y_std;0,645986304;0,346018367;0,008705093;;0,333569921;3;7;19;29;4;59
acc_y_sma;0,640417932;0,360121429;0,002499897;;0,334346419;4;3;37;44;14;51
acc_y_aad;0,640386028;0,360121434;0,246008125;;0,415505196;5;2;1;8;1;60
acc_z_std;0,586788224;0,208272644;0,006176837;;0,267079235;6;15;21;42;11;51
acc_z_aad;0,585518267;0,215066991;0,020816178;;0,273800479;7;14;12;33;5;56
acc_z_sma;0,58540021;0,215067025;0,10424618;;0,301571138;8;13;2;23;3;56
nb_step;0,564983868;0,433710372;0,087030177;;0,361908139;9;1;3;13;2;56
acc_arc;0,556914658;0,314566706;0,010514307;;0,293998557;10;8;17;35;6;55
acc_x_mean;0,450475631;0,178496651;0,022058001;;0,217010094;11;20;11;42;11;51
baro_std;0,397407658;0,004172518;0,000451728;;0,134010635;12;60;60;132;48;17
acc_x_std;0,383888446;0,348669939;0,005903778;;0,246154054;13;6;22;41;9;51
acc_x_aad;0,374762018;0,354064931;0,005694127;;0,244840359;14;5;23;42;11;50
acc_x_sma;0,374264529;0,354064954;0,000127148;;0,242818877;15;4;62;81;22;41
baro_sma;0,374205908;0,003936188;0,067332242;;0,148491446;16;61;4;81;22;41
baro_aad;0,373540316;0,003936186;0,000917222;;0,126131242;17;62;57;136;52;13
mag_y_mean;0,310984862;0,037105435;0,026773626;;0,124954641;18;51;10;79;19;41
mag_x_mean;0,308312571;0,109820801;0,019473484;;0,145868952;19;29;13;61;17;43
mag_z_mean;0,301055904;0,255588491;0,029583049;;0,195409148;20;11;8;39;7;45
mag_y_std;0,276815148;0,129879688;0,050714263;;0,1524697;21;27;6;54;16;43
mag_x_std;0,274360809;0,195632852;0,002230835;;0,157408165;22;18;40;80;21;40
mag_x_sma;0,270818338;0,199202865;0,001420186;;0,15714713;23;16;52;91;27;36
mag_x_aad;0,270495713;0,199202758;0,049320971;;0,173006481;24;17;7;48;15;41
mag_y_sma;0,268265831;0,136767493;0,001238248;;0,135423857;25;25;55;105;32;31
